group1,group2,meandiff,p-adj,lower,upper,reject
0 h,1 h,0.0436,0.936,-0.0762,0.1635,False
0 h,2 h,-0.0087,1.0,-0.1279,0.1105,False
0 h,3 h,-0.1313,0.0653,-0.267,0.0044,False
0 h,4 h,-0.232,0.0022,-0.4093,-0.0547,True
0 h,5+ h,-0.3721,0.0,-0.5194,-0.2247,True
0 h,<1 h,0.048,0.8634,-0.063,0.1591,False
1 h,2 h,-0.0523,0.8798,-0.1771,0.0724,False
1 h,3 h,-0.1749,0.0046,-0.3155,-0.0343,True
1 h,4 h,-0.2756,0.0001,-0.4567,-0.0946,True
1 h,5+ h,-0.4157,0.0,-0.5676,-0.2638,True
1 h,<1 h,0.0044,1.0,-0.1126,0.1215,False
2 h,3 h,-0.1226,0.1314,-0.2626,0.0174,False
2 h,4 h,-0.2233,0.005,-0.4039,-0.0427,True
2 h,5+ h,-0.3634,0.0,-0.5147,-0.212,True
2 h,<1 h,0.0568,0.781,-0.0596,0.1731,False
3 h,4 h,-0.1007,0.7161,-0.2926,0.0912,False
3 h,5+ h,-0.2407,0.0003,-0.4054,-0.076,True
3 h,<1 h,0.1794,0.0014,0.0462,0.3126,True
4 h,5+ h,-0.1401,0.3759,-0.3404,0.0603,False
4 h,<1 h,0.28,0.0001,0.1047,0.4554,True
5+ h,<1 h,0.4201,0.0,0.275,0.5652,True
